artist_id,artist_name,year,positive,negative,neutral
AR002UA1187B9A637D,The Bristols,2001,26.0,9.0,246.0
AR00B1I1187FB433EB,Eagle Eye Cherry,2000,12.0,25.0,453.0
AR00B1I1187FB433EB,Eagle-Eye Cherry,1996,20.0,9.0,234.0
AR00B1I1187FB433EB,Eagle-Eye Cherry,1997,131.0,104.0,2329.0
AR00B1I1187FB433EB,Eagle-Eye Cherry,1998,42.0,15.0,397.0
AR00B1I1187FB433EB,Eagle-Eye Cherry,2000,144.0,88.0,1817.0
AR00B1I1187FB433EB,Eagle-Eye Cherry,2001,21.0,21.0,376.0
AR00B1I1187FB433EB,Eagle-Eye Cherry,2003,72.0,49.0,1548.0
AR00B1I1187FB433EB,Eagle-Eye Cherry / Santana,2000,26.0,7.0,250.0
AR00FOZ1187FB5C9F3,autoKratz,2008,0.0,0.0,46.0
AR00JIO1187B9A5A15,Saigon,2004,126.0,150.0,3156.0
AR00JIO1187B9A5A15,Saigon,2007,38.0,54.0,982.0
AR00MBZ1187B9B5DB1,Memphis Minnie,1930,3.0,3.0,206.0
AR00MBZ1187B9B5DB1,Memphis Minnie,1941,18.0,9.0,212.0
AR00MBZ1187B9B5DB1,Memphis Minnie,1991,60.0,41.0,1567.0
AR00MBZ1187B9B5DB1,Memphis Minnie,1995,8.0,3.0,166.0
AR00MBZ1187B9B5DB1,Memphis Minnie,1997,14.0,40.0,288.0
AR00MBZ1187B9B5DB1,Memphis Minnie,1999,14.0,15.0,425.0
AR00MBZ1187B9B5DB1,Memphis Minnie,2000,20.0,30.0,496.0
AR00RBU1187B9B3F1F,Matthew Jay,2000,6.0,9.0,145.0
AR00RBU1187B9B3F1F,Matthew Jay,2001,54.0,28.0,1400.0
AR00TGQ1187B994F29,Paula Toller,2000,37.0,7.0,661.0
AR00TGQ1187B994F29,Paula Toller,2007,10.0,12.0,712.0
AR00TGQ1187B994F29,Paula Toller,2008,0.0,2.0,108.0
AR00Y9I1187B999412,Akercocke,1999,41.0,24.0,412.0
AR00Y9I1187B999412,Akercocke,2001,20.0,21.0,377.0
AR00Y9I1187B999412,Akercocke,2002,13.0,19.0,208.0
AR00Y9I1187B999412,Akercocke,2003,49.0,52.0,931.0
AR00Y9I1187B999412,Akercocke,2005,38.0,28.0,439.0
AR00Y9I1187B999412,Akercocke,2007,35.0,26.0,713.0
AR00YYQ1187FB504DC,God Is My Co-Pilot,1992,7.0,6.0,96.0
AR00YYQ1187FB504DC,God Is My Co-Pilot,1996,38.0,42.0,828.0
AR00YYQ1187FB504DC,God Is My Co-Pilot,1998,16.0,9.0,248.0
AR013KN1187FB5AC4C,Joey Heatherton,2001,11.0,0.0,79.0
AR01AEG1187B9B6070,Le sport,2005,3.0,13.0,214.0
AR01AEG1187B9B6070,Le sport,2006,3.0,2.0,177.0
AR01G6G1187B9892EF,Tonino Carotone,1999,13.0,14.0,161.0
AR01G6G1187B9892EF,Tonino Carotone,2008,3.0,0.0,112.0
AR01HKT1187B996F26,Mountain Goats,1994,11.0,4.0,325.0
AR01HKT1187B996F26,Mountain Goats,1995,15.0,4.0,402.0
AR01HKT1187B996F26,Mountain Goats,2002,25.0,13.0,394.0
AR01HKT1187B996F26,The Mountain Goats,1993,12.0,6.0,168.0
AR01HKT1187B996F26,The Mountain Goats,1994,18.0,13.0,713.0
AR01HKT1187B996F26,The Mountain Goats,1995,13.0,9.0,272.0
AR01HKT1187B996F26,The Mountain Goats,1996,1.0,5.0,244.0
AR01HKT1187B996F26,The Mountain Goats,2000,9.0,9.0,361.0
AR01HKT1187B996F26,The Mountain Goats,2002,31.0,5.0,436.0
AR01HKT1187B996F26,The Mountain Goats,2003,4.0,2.0,165.0
AR01HKT1187B996F26,The Mountain Goats,2008,25.0,14.0,528.0
AR01HKT1187B996F26,The Mountain Goats,2009,24.0,9.0,499.0
AR01IP11187B9AF5D2,Call To Preserve,2006,5.0,8.0,189.0
AR01SCU1187B9A693C,Street Dogs,2003,95.0,59.0,2535.0
AR01SCU1187B9A693C,Street Dogs,2008,116.0,119.0,2217.0
AR01SXQ119B86698DC,Wolfmare,2008,26.0,21.0,401.0
AR01VU31187B997DA0,Grand Funk,1973,39.0,37.0,783.0
AR01VU31187B997DA0,Grand Funk,1974,122.0,49.0,1456.0
AR01VU31187B997DA0,Grand Funk Railroad,1969,13.0,0.0,110.0
AR01VU31187B997DA0,Grand Funk Railroad,1970,37.0,14.0,499.0
AR01VU31187B997DA0,Grand Funk Railroad,1971,123.0,56.0,1675.0
AR01VU31187B997DA0,Grand Funk Railroad,1972,73.0,32.0,1256.0
AR01VU31187B997DA0,Grand Funk Railroad,1975,45.0,7.0,687.0
AR01VU31187B997DA0,Grand Funk Railroad,1976,36.0,26.0,609.0
AR01VU31187B997DA0,Grand Funk Railroad,1981,72.0,55.0,1345.0
AR01VU31187B997DA0,Grand Funk Railroad,1983,5.0,7.0,177.0
AR01VU31187B997DA0,Grand Funk Railroad,1989,7.0,4.0,114.0
AR01VU31187B997DA0,Grand Funk Railroad,2002,21.0,9.0,337.0
AR01W2D1187FB5912F,3OH!3,2008,70.0,86.0,2047.0
AR01W2D1187FB5912F,3OH!3,2009,3.0,6.0,155.0
AR01W2D1187FB5912F,3OH!3,2010,19.0,6.0,358.0
AR020PM1187FB3F357,Stephan Eicher,1985,0.0,1.0,159.0
